sales_id,restaurant_id,creditcard_tip,drinks_payment,food_payment,other_payment,service_charges,delivery_charges,Date
41,1,5.56,445.59,1403.18,297.39,57.46,99.67,2024-02-10
42,1,0.07,433.65,1423.84,333.38,92.53,33.99,2024-02-11
43,1,9.84,513.72,1222.94,303.31,46.83,110.34,2024-02-12
44,1,5.77,531.7,1234.11,311.82,34.71,138.36,2024-02-13
45,1,4.24,483.36,1158.81,337.98,56.87,84.24,2024-02-14
46,1,5.35,402.27,1195.19,277.0,52.58,82.3,2024-02-15
47,1,8.69,482.66,1081.82,283.28,62.03,60.7,2024-02-16
48,1,9.56,367.99,1049.7,344.79,55.66,64.91,2024-02-17
49,1,2.44,516.18,1332.79,338.5,91.18,36.35,2024-02-18
50,1,5.68,479.88,1209.4,294.95,63.96,70.5,2024-02-19
51,1,3.66,492.26,1364.74,269.08,64.75,83.15,2024-02-20
52,1,4.68,431.46,1579.57,305.31,72.85,85.96,2024-02-21
53,1,1.88,410.86,1164.54,282.11,63.37,59.02,2024-02-22
54,1,5.57,443.8,1305.58,359.78,86.16,38.63,2024-02-23
55,1,7.62,481.79,1247.39,323.37,60.83,83.63,2024-02-24
56,1,9.51,501.89,1398.09,350.35,69.82,85.41,2024-02-25
57,1,1.06,436.95,1402.81,282.25,63.96,84.28,2024-02-26
58,1,6.11,542.17,1408.4,334.8,76.13,76.27,2024-02-27
59,1,4.89,491.19,1402.54,309.42,59.97,100.37,2024-02-28
60,1,5.94,515.07,1224.27,319.77,60.1,85.68,2024-02-29
61,1,2.87,531.51,1247.02,292.78,61.65,83.82,2024-03-01
62,1,9.94,506.5,1424.48,236.21,61.06,94.62,2024-03-02
63,1,8.7,442.66,1315.5,311.84,37.9,131.24,2024-03-03
64,1,1.13,426.74,1085.35,293.82,51.38,77.81,2024-03-04
65,1,4.1,530.44,1269.57,291.36,84.46,40.22,2024-03-05
66,1,8.0,487.47,1309.31,299.92,66.59,76.51,2024-03-06
67,1,1.95,443.36,1287.81,304.18,57.04,89.47,2024-03-07
68,1,0.04,471.26,1208.49,297.11,61.75,74.18,2024-03-08
69,1,0.05,438.69,1176.71,317.78,59.22,74.83,2024-03-09
70,1,2.18,447.82,1358.77,281.74,70.46,67.92,2024-03-10
71,1,9.06,441.11,1468.47,343.43,79.01,67.27,2024-03-11
72,1,3.78,384.8,1364.87,273.42,65.29,71.75,2024-03-12
73,1,9.18,435.17,1354.8,289.74,73.74,60.49,2024-03-13
74,1,5.83,446.6,1377.72,276.42,56.72,96.6,2024-03-14
75,1,1.52,376.58,1523.76,251.79,70.21,74.85,2024-03-15
76,1,0.36,396.5,1208.85,323.77,59.27,74.41,2024-03-16
77,1,3.06,420.97,1279.08,301.74,59.23,81.68,2024-03-17
78,1,4.33,487.15,1392.57,299.74,79.74,58.54,2024-03-18
79,1,9.41,401.03,1140.23,291.2,50.63,81.99,2024-03-19
80,1,5.31,437.1,1118.98,317.51,51.35,84.63,2024-03-20
81,1,8.47,458.04,1291.68,346.83,54.41,100.86,2024-03-21
82,1,3.82,408.69,1249.23,330.85,61.38,76.16,2024-03-22
83,1,8.93,365.25,1157.62,318.06,65.8,52.45,2024-03-23
84,1,2.23,517.32,1222.09,279.74,62.08,77.82,2024-03-24
85,1,3.73,494.03,1322.89,346.6,58.74,98.86,2024-03-25
86,1,9.49,606.33,1327.83,287.07,67.19,87.76,2024-03-26
87,1,4.35,403.19,1384.24,287.41,68.23,71.02,2024-03-27
88,1,3.17,475.03,1463.81,264.0,75.91,68.46,2024-03-28
89,1,8.07,442.23,1236.1,313.71,73.37,52.45,2024-03-29
90,1,7.22,411.72,1297.64,291.34,64.98,70.1,2024-03-30
91,1,3.53,408.06,1294.94,281.97,61.37,75.79,2024-03-31
92,1,4.69,385.85,1153.6,262.74,64.04,52.12,2024-04-01
93,1,7.16,439.48,1242.34,300.61,48.77,100.67,2024-04-02
94,1,5.47,380.74,1472.12,322.48,50.27,116.97,2024-04-03
95,1,9.42,470.49,1366.58,326.62,69.36,77.65,2024-04-04
96,1,1.85,456.04,1399.7,274.81,70.0,73.01,2024-04-05
97,1,4.78,399.65,1282.15,264.04,68.76,57.06,2024-04-06
98,1,9.54,493.89,1533.17,312.32,79.45,75.03,2024-04-07
99,1,9.5,454.02,1217.25,265.83,62.02,69.72,2024-04-08
100,1,4.63,447.97,1308.63,281.09,44.83,114.14,2024-04-09
101,1,6.32,423.35,1228.55,245.98,51.99,85.81,2024-04-10
102,1,6.62,471.1,1223.27,323.6,66.55,68.69,2024-04-11
103,1,7.48,436.65,1474.67,265.08,84.47,48.7,2024-04-12
104,1,0.02,461.13,1274.39,240.59,71.89,53.83,2024-04-13
105,1,5.5,426.67,1179.17,321.56,69.8,53.18,2024-04-14
106,1,4.68,407.78,1288.38,297.96,62.02,75.36,2024-04-15
107,1,7.83,460.42,1124.79,344.51,52.06,88.82,2024-04-16
108,1,5.6,477.64,1381.32,333.14,66.82,85.58,2024-04-17
109,1,1.58,434.1,1608.29,284.33,57.24,118.22,2024-04-18
110,1,8.74,533.44,1498.0,239.41,72.21,82.65,2024-04-19
111,1,5.58,407.61,1231.55,334.15,47.27,102.82,2024-04-20
112,1,2.33,421.04,1118.39,288.98,63.53,55.77,2024-04-21
113,1,6.16,519.03,1189.44,326.54,46.05,111.41,2024-04-22
114,1,7.08,515.2,1273.35,302.89,40.15,128.87,2024-04-23
115,1,7.94,417.32,1234.43,309.49,54.02,88.06,2024-04-24
116,1,2.09,494.83,1274.6,230.68,54.51,90.97,2024-04-25
117,1,2.33,493.43,1498.18,291.48,69.38,89.54,2024-04-26
118,1,5.71,452.1,1266.22,299.91,59.3,83.19,2024-04-27
119,1,0.39,491.16,1224.17,264.61,58.12,81.76,2024-04-28
120,1,6.79,447.85,1245.81,300.34,37.07,125.23,2024-04-29
121,1,2.82,482.98,1381.46,288.13,62.28,90.65,2024-04-30
122,1,8.4,507.71,1310.41,287.03,89.15,32.21,2024-05-01
123,1,7.41,382.36,1264.69,326.04,52.45,92.44,2024-05-02
124,1,1.31,464.65,1162.53,344.8,48.95,99.3,2024-05-03
125,1,0.09,407.91,1043.77,327.58,54.74,68.45,2024-05-04
126,1,5.89,458.67,1111.32,290.68,54.99,76.11,2024-05-05
127,1,0.21,441.61,1265.1,272.82,63.19,71.56,2024-05-06
128,1,0.22,428.36,1099.93,285.66,60.84,59.71,2024-05-07
129,1,3.35,468.11,1161.24,309.34,41.48,110.9,2024-05-08
130,1,3.88,417.93,1204.96,307.16,63.76,65.5,2024-05-09
131,1,2.35,379.53,1070.23,288.72,43.44,86.94,2024-05-10
132,1,2.52,511.91,1442.45,334.79,75.22,78.5,2024-05-11
133,1,2.0,406.61,1121.51,259.35,46.38,85.98,2024-05-12
134,1,2.74,445.38,1278.88,329.33,80.22,44.88,2024-05-13
135,1,4.33,328.57,1113.5,231.47,53.11,61.13,2024-05-14
136,1,8.54,396.14,1161.41,296.22,52.07,81.26,2024-05-15
137,1,0.1,450.86,1348.01,249.61,62.29,80.24,2024-05-16
138,1,6.16,442.67,1043.8,301.54,56.53,65.74,2024-05-17
139,1,3.2,401.94,1274.93,255.34,57.74,77.78,2024-05-18
140,1,2.82,490.33,1349.66,327.01,76.49,63.72,2024-05-19
141,1,7.49,444.36,1419.5,356.86,57.21,107.67,2024-05-20
142,1,7.08,467.66,1214.16,235.44,70.7,50.35,2024-05-21
143,1,7.93,408.79,1060.91,321.81,67.61,43.97,2024-05-22
144,1,3.9,413.04,1141.06,221.18,53.47,70.59,2024-05-23
145,1,0.7,476.58,1260.8,288.78,57.23,88.14,2024-05-24
146,1,8.22,425.63,1219.77,254.79,66.58,56.84,2024-05-25
147,1,8.29,485.06,1453.34,312.57,77.59,69.91,2024-05-26
148,1,7.36,443.66,1163.87,260.72,58.0,70.85,2024-05-27
149,1,9.43,381.91,1224.74,285.98,64.81,59.65,2024-05-28
150,1,9.33,410.36,1305.97,297.96,73.76,53.92,2024-05-29
151,1,1.71,514.65,1093.36,322.39,75.7,41.63,2024-05-30
152,1,0.62,405.7,1212.3,343.81,69.57,57.08,2024-05-31
153,1,2.28,447.33,1375.87,362.45,70.27,78.05,2024-06-01
154,1,6.96,473.25,1362.87,248.6,75.62,57.22,2024-06-02
155,1,2.15,451.68,1260.46,298.53,58.43,84.23,2024-06-03
156,1,7.81,511.56,1360.88,296.07,67.33,82.23,2024-06-04
157,1,9.97,535.44,1213.8,312.34,60.02,86.06,2024-06-05
158,1,5.29,426.24,1395.61,291.7,67.09,77.17,2024-06-06
159,1,2.9,498.29,1309.3,325.42,74.94,63.42,2024-06-07
160,1,2.23,473.62,1288.71,316.6,56.83,94.25,2024-06-08
161,1,0.35,520.35,1301.47,321.58,81.97,50.41,2024-06-09
162,1,2.87,501.02,1210.53,301.19,39.52,122.22,2024-06-10
163,1,8.35,340.96,1238.19,344.95,65.29,61.81,2024-06-11
164,1,8.13,442.29,1243.09,265.34,57.39,80.31,2024-06-12
165,1,1.38,413.5,1040.29,304.08,53.48,68.79,2024-06-13
166,1,8.05,376.51,1278.51,282.23,60.11,73.51,2024-06-14
167,1,5.31,403.49,1272.11,303.7,59.32,79.27,2024-06-15
168,1,7.41,369.6,1310.54,304.81,55.82,86.84,2024-06-16
169,1,0.63,487.82,1614.33,302.87,74.23,92.03,2024-06-17
170,1,1.38,387.93,1252.46,274.7,54.77,81.98,2024-06-18
171,1,0.44,504.88,1255.94,286.75,59.69,85.36,2024-06-19
172,1,9.54,401.71,1200.69,319.51,66.97,58.26,2024-06-20
173,1,0.44,486.87,1273.21,241.33,61.88,76.37,2024-06-21
174,1,6.98,349.96,1187.34,325.52,51.1,84.1,2024-06-22
175,1,4.47,385.43,1316.14,271.32,33.5,130.27,2024-06-23
176,1,8.64,436.44,1232.37,278.76,50.72,93.28,2024-06-24
177,1,4.22,387.96,1122.48,254.48,66.13,44.25,2024-06-25
178,1,4.43,434.99,1242.65,284.15,57.92,80.4,2024-06-26
179,1,8.79,499.57,1438.13,289.52,63.25,96.25,2024-06-27
180,1,7.01,420.31,1335.14,324.25,70.09,67.78,2024-06-28
181,1,2.49,477.94,1320.7,282.58,53.7,100.77,2024-06-29
182,1,2.94,433.93,1424.85,282.07,60.46,93.13,2024-06-30
183,1,6.41,463.44,1308.64,303.16,44.33,118.88,2024-07-01
184,1,6.08,498.83,1174.05,309.28,57.67,82.89,2024-07-02
185,1,2.07,420.78,1366.87,328.28,80.02,51.55,2024-07-03
186,1,8.73,477.44,1274.81,250.8,58.67,82.98,2024-07-04
187,1,6.27,501.63,1263.2,346.22,61.01,89.1,2024-07-05
188,1,0.6,469.88,1251.08,299.82,41.95,118.17,2024-07-06
189,1,3.39,492.77,1415.84,311.54,71.27,79.47,2024-07-07
190,1,5.49,416.88,1375.31,334.65,51.8,109.09,2024-07-08
191,1,5.44,476.16,1340.6,227.92,61.56,81.34,2024-07-09
192,1,9.77,464.33,1564.29,231.02,69.46,87.06,2024-07-10
193,1,8.09,418.37,1276.44,275.03,58.21,80.6,2024-07-11
194,1,8.35,488.69,1245.2,298.41,64.63,74.03,2024-07-12
195,1,4.48,587.98,1142.52,305.79,67.21,69.23,2024-07-13
196,1,3.63,461.82,1320.0,297.4,70.64,66.63,2024-07-14
197,1,6.31,437.15,1440.52,300.44,71.09,75.65,2024-07-15
198,1,4.18,515.86,1321.62,294.95,57.11,99.03,2024-07-16
199,1,0.64,491.99,1141.33,266.65,54.74,80.52,2024-07-17
200,1,3.44,493.8,1327.05,309.64,54.94,103.12,2024-07-18
201,1,6.65,396.24,1270.07,279.97,68.15,58.32,2024-07-19
202,1,5.16,452.82,1539.84,323.81,63.52,104.58,2024-07-20
203,1,4.97,405.66,1315.04,278.98,61.56,76.86,2024-07-21
204,1,9.88,492.36,1242.91,294.03,57.57,87.74,2024-07-22
205,1,5.03,452.0,1242.49,320.64,58.47,84.58,2024-07-23
206,1,2.47,395.62,1154.85,294.7,56.6,71.31,2024-07-24
207,1,1.49,506.45,1444.67,271.08,85.68,50.85,2024-07-25
208,1,6.95,403.5,987.02,267.83,42.95,79.92,2024-07-26
209,1,0.5,494.19,1528.5,320.97,82.18,70.01,2024-07-27
210,1,8.2,503.13,1264.79,267.25,68.97,65.58,2024-07-28
211,1,0.75,529.88,1305.63,258.37,50.86,107.66,2024-07-29
212,1,0.96,389.36,1232.81,284.72,53.54,83.62,2024-07-30
213,1,4.23,448.78,1366.48,249.44,62.95,80.55,2024-07-31
214,1,1.06,419.88,1322.76,319.64,74.18,57.87,2024-08-01
215,1,3.71,405.29,1364.72,287.73,46.34,113.1,2024-08-02
216,1,8.56,435.76,1206.78,352.41,48.82,101.89,2024-08-03
217,1,0.08,370.76,1469.1,263.19,60.13,89.98,2024-08-04
218,1,9.28,513.15,1296.99,290.65,70.62,68.88,2024-08-05
219,1,0.55,522.16,1139.76,262.59,59.09,74.28,2024-08-06
220,1,3.08,428.85,1431.98,288.49,77.95,59.03,2024-08-07
221,1,4.2,350.97,1307.74,290.85,62.91,69.16,2024-08-08
222,1,2.15,412.11,1183.24,319.51,53.03,85.44,2024-08-09
223,1,6.7,444.03,1267.89,350.14,46.42,113.38,2024-08-10
224,1,2.18,409.01,1207.9,267.6,57.61,73.23,2024-08-11
225,1,7.28,412.74,1372.0,315.6,71.8,66.41,2024-08-12
226,1,9.65,442.61,1196.76,275.68,64.59,62.34,2024-08-13
227,1,7.49,399.28,1285.86,294.57,53.84,90.32,2024-08-14
228,1,3.13,401.56,1126.37,296.05,49.1,84.22,2024-08-15
229,1,2.77,470.25,1249.72,325.99,44.23,116.19,2024-08-16
230,1,6.0,438.71,1517.44,278.75,80.91,61.63,2024-08-17
231,1,7.78,495.3,1267.61,259.74,49.77,102.73,2024-08-18
232,1,3.36,369.52,1173.47,264.03,56.57,67.57,2024-08-19
233,1,5.52,446.04,1266.21,275.71,73.66,51.43,2024-08-20
234,1,8.09,387.18,1410.99,275.62,67.11,73.15,2024-08-21
235,1,1.65,467.53,1471.08,292.08,71.16,80.77,2024-08-22
236,1,5.39,466.01,1140.19,280.35,48.17,92.29,2024-08-23
237,1,4.17,453.37,1066.44,331.31,52.41,80.3,2024-08-24
238,1,2.41,388.14,1213.64,329.36,55.15,82.83,2024-08-25
239,1,3.39,475.28,1260.17,291.86,64.5,73.7,2024-08-26
240,1,7.86,405.36,1255.22,291.89,63.07,69.11,2024-08-27
241,1,9.12,427.31,1283.87,272.49,62.49,73.39,2024-08-28
242,1,5.29,466.83,1364.46,296.52,51.71,109.37,2024-08-29
243,1,1.86,517.34,1417.72,247.85,54.07,110.18,2024-08-30
244,1,7.52,514.81,1350.19,295.26,74.02,67.94,2024-08-31
245,1,9.49,513.93,1094.72,289.86,66.58,56.7,2024-09-01
246,1,2.29,465.23,1309.35,292.02,81.73,43.21,2024-09-02
247,1,9.01,496.91,1078.47,287.11,63.45,59.34,2024-09-03
248,1,9.15,435.83,1250.33,338.01,60.1,82.25,2024-09-04
249,1,7.49,420.31,1109.65,344.52,60.46,66.49,2024-09-05
250,1,3.07,455.84,1314.17,305.23,67.31,72.94,2024-09-06
251,1,0.03,401.62,1334.29,282.83,48.06,105.76,2024-09-07
252,1,7.07,420.77,1381.42,286.98,74.98,58.97,2024-09-08
253,1,5.41,457.55,1354.53,269.51,71.62,64.95,2024-09-09
254,1,8.47,419.88,1383.85,299.38,79.43,51.45,2024-09-10
255,1,5.84,496.25,1191.79,304.39,61.73,75.78,2024-09-11
256,1,3.34,487.98,1380.79,282.02,85.44,44.2,2024-09-12
257,1,3.47,432.14,1186.71,375.05,64.01,71.35,2024-09-13
258,1,9.81,475.35,1396.87,259.87,66.79,79.64,2024-09-14
259,1,8.61,513.38,1250.31,310.89,62.2,83.09,2024-09-15
260,1,8.84,415.12,1174.76,322.84,58.78,73.72,2024-09-16
261,1,0.33,488.8,1354.83,299.61,64.85,84.62,2024-09-17
262,1,5.05,434.66,1328.85,328.28,63.84,81.54,2024-09-18
263,1,9.5,467.44,1492.89,265.17,68.43,85.68,2024-09-19
264,1,7.02,432.15,1239.98,333.17,59.76,80.99,2024-09-20
265,1,4.39,472.9,1261.41,327.87,58.92,88.38,2024-09-21
266,1,4.28,524.77,1229.08,284.03,79.35,45.1,2024-09-22
267,1,0.66,450.9,1247.25,324.94,63.4,75.52,2024-09-23
268,1,2.72,467.6,1427.5,227.28,63.75,84.73,2024-09-24
269,1,9.69,403.65,1235.7,303.84,65.31,63.69,2024-09-25
270,1,5.04,317.78,996.49,304.96,55.33,51.28,2024-09-26
271,1,2.3,457.99,1186.71,311.77,69.04,57.56,2024-09-27
272,1,1.69,490.17,1512.49,351.0,82.49,70.34,2024-09-28
273,1,4.02,422.35,1222.88,298.65,69.84,54.73,2024-09-29
274,1,6.31,476.08,1188.03,345.57,75.53,49.88,2024-09-30
275,1,3.0,494.7,1186.02,235.67,47.69,96.29,2024-10-01
276,1,5.56,411.13,1427.04,329.78,71.62,73.56,2024-10-02
277,1,0.92,469.32,1180.31,324.59,68.11,61.22,2024-10-03
278,1,2.42,425.6,1365.53,314.15,73.35,63.81,2024-10-04
279,1,0.93,452.41,1336.55,306.65,55.94,97.67,2024-10-05
280,1,6.78,466.51,1386.67,291.53,70.15,74.22,2024-10-06
281,1,1.66,406.68,1401.83,289.25,72.62,64.56,2024-10-07
282,1,9.87,391.66,1280.35,292.9,53.97,88.56,2024-10-08
283,1,0.76,404.02,1353.25,277.24,67.12,69.23,2024-10-09
284,1,2.65,452.38,1137.24,281.61,66.19,54.73,2024-10-10
285,1,9.28,501.35,1279.71,369.87,52.02,111.01,2024-10-11
286,1,7.36,484.33,1161.36,286.41,60.47,72.28,2024-10-12
287,1,1.02,520.61,1416.06,302.36,63.15,97.64,2024-10-13
288,1,1.63,511.98,1492.69,262.41,66.7,93.31,2024-10-14
289,1,1.39,544.41,1074.14,276.39,41.05,107.47,2024-10-15
290,1,8.28,439.7,1252.67,268.13,49.05,97.97,2024-10-16
291,1,0.89,441.45,1120.98,319.61,50.67,86.84,2024-10-17
292,1,3.16,432.91,1217.67,323.11,66.76,63.84,2024-10-18
293,1,7.99,472.02,1435.17,265.91,72.05,73.24,2024-10-19
294,1,0.79,398.82,1243.02,350.58,63.06,73.06,2024-10-20
295,1,4.45,507.55,1235.22,297.08,47.0,110.0,2024-10-21
296,1,1.58,408.44,1163.06,271.69,64.63,55.08,2024-10-22
297,1,0.55,357.76,1218.58,308.72,61.87,64.75,2024-10-23
298,1,3.77,363.04,1110.63,325.64,56.26,67.41,2024-10-24
299,1,0.96,423.31,1103.64,259.11,47.61,83.41,2024-10-25
300,1,0.46,447.6,1313.53,280.58,80.05,44.09,2024-10-26
301,1,2.65,462.58,1323.99,306.19,56.54,96.2,2024-10-27
302,1,7.97,366.62,1328.31,298.52,46.82,105.69,2024-10-28
303,1,3.2,421.08,1327.24,272.6,53.85,94.35,2024-10-29
304,1,2.82,379.58,1162.9,295.96,42.23,99.36,2024-10-30
305,1,4.03,482.27,1233.55,271.92,71.51,55.73,2024-10-31
306,1,1.77,525.68,1286.59,345.14,83.94,47.87,2024-11-01
307,1,7.87,444.54,1142.2,309.82,55.86,77.9,2024-11-02
308,1,5.38,480.21,1160.17,308.11,72.04,50.78,2024-11-03
309,1,4.69,491.94,1125.66,305.98,56.18,79.99,2024-11-04
310,1,8.71,465.61,1357.83,303.01,65.86,80.95,2024-11-05
311,1,4.7,356.96,1295.74,350.01,51.85,96.59,2024-11-06
312,1,3.6,394.09,1423.47,278.41,42.01,125.56,2024-11-07
313,1,6.03,423.02,1337.74,290.65,73.5,58.17,2024-11-08
314,1,5.05,351.21,1331.64,281.01,63.14,70.1,2024-11-09
315,1,8.08,546.85,1241.88,302.52,62.17,84.78,2024-11-10
316,1,9.21,473.61,1380.49,278.54,68.82,75.58,2024-11-11
317,1,5.23,385.56,1110.01,320.47,49.33,83.0,2024-11-12
318,1,5.98,443.76,1040.07,279.19,65.31,45.69,2024-11-13
319,1,8.92,387.23,1274.45,348.38,41.75,117.48,2024-11-14
320,1,4.84,456.09,1339.19,287.19,50.59,107.11,2024-11-15
321,1,8.48,467.79,1270.52,285.64,82.18,38.01,2024-11-16
322,1,9.95,444.49,1202.29,309.14,62.92,69.77,2024-11-17
323,1,5.69,479.48,1403.51,271.98,78.37,58.73,2024-11-18
324,1,8.89,450.15,1329.63,293.27,64.95,77.36,2024-11-19
325,1,1.0,485.45,1521.36,304.35,73.47,84.15,2024-11-20
326,1,4.75,453.44,1125.01,287.44,57.9,70.8,2024-11-21
327,1,4.52,486.02,1284.31,301.2,67.75,71.63,2024-11-22
328,1,0.06,371.11,1192.33,281.18,48.39,87.69,2024-11-23
329,1,2.8,449.93,1156.8,282.54,65.67,57.54,2024-11-24
330,1,1.55,490.62,1293.6,265.2,57.03,90.91,2024-11-25
331,1,5.5,413.55,1246.67,322.05,63.62,70.97,2024-11-26
332,1,7.16,438.48,1264.65,239.68,42.94,108.44,2024-11-27
333,1,1.43,402.41,1278.58,329.55,65.9,69.24,2024-11-28
334,1,9.77,457.5,1469.95,316.35,72.17,80.03,2024-11-29
335,1,4.61,411.6,1260.0,260.99,50.92,91.45,2024-11-30
336,1,6.33,532.15,1284.03,321.09,70.4,72.95,2024-12-01
337,1,8.69,482.57,1236.93,289.85,65.12,70.69,2024-12-02
338,1,7.72,543.49,1306.35,318.34,62.61,91.64,2024-12-03
339,1,4.29,402.58,1336.86,339.49,76.68,54.49,2024-12-04
340,1,0.04,422.1,1286.88,250.4,59.97,76.0,2024-12-05
341,1,7.85,550.23,1374.98,328.61,69.07,87.25,2024-12-06
342,1,2.95,444.65,1229.46,342.02,66.95,67.67,2024-12-07
343,1,3.38,459.62,1088.39,277.44,64.61,53.34,2024-12-08
344,1,4.82,567.52,1474.34,298.84,58.85,116.39,2024-12-09
345,1,3.28,456.55,1356.0,343.16,52.11,111.38,2024-12-10
346,1,7.08,453.93,1173.67,310.88,49.09,95.67,2024-12-11
347,1,9.43,455.99,1234.8,297.67,56.81,85.18,2024-12-12
348,1,2.0,478.97,1287.79,331.77,71.55,66.77,2024-12-13
349,1,5.73,460.65,1280.32,314.52,60.26,85.04,2024-12-14
350,1,0.45,362.73,1092.89,269.81,59.52,53.52,2024-12-15
351,1,0.79,396.62,1169.68,295.12,63.88,58.39,2024-12-16
352,1,5.98,546.69,1133.28,298.94,64.07,69.73,2024-12-17
353,1,5.62,466.84,1297.75,325.6,57.08,94.81,2024-12-18
354,1,8.33,502.26,1354.34,285.26,68.33,77.53,2024-12-19
355,1,7.58,475.41,1228.03,298.46,53.52,93.15,2024-12-20
356,1,2.92,488.03,1531.42,320.15,71.97,90.03,2024-12-21
357,1,1.74,449.07,1394.39,274.68,64.16,83.5,2024-12-22
358,1,1.58,415.34,1102.97,278.44,73.06,33.57,2024-12-23
359,1,0.51,482.48,1242.68,253.0,61.17,75.5,2024-12-24
360,1,6.33,511.6,1457.46,281.36,65.38,94.27,2024-12-25
361,1,8.45,429.79,1329.04,258.65,34.35,133.06,2024-12-26
362,1,1.7,390.38,1006.02,335.61,53.23,66.7,2024-12-27
363,1,3.88,429.97,1197.39,251.42,58.07,71.72,2024-12-28
364,1,5.96,545.08,1156.14,249.4,62.57,69.9,2024-12-29
365,1,4.2,476.69,1176.04,322.64,58.99,79.57,2024-12-30
366,2,3.2,407.89,1265.23,288.89,37.94,120.32,2024-01-01
367,2,3.48,454.85,1190.7,307.35,56.82,81.66,2024-01-02
368,2,2.1,508.08,1386.87,274.0,69.45,77.95,2024-01-03
369,2,7.35,575.66,1361.65,298.5,68.26,87.11,2024-01-04
370,2,5.43,555.21,1133.68,308.94,64.18,71.45,2024-01-05
371,2,1.32,521.24,1235.48,358.37,71.55,68.41,2024-01-06
372,2,3.71,427.84,1329.24,332.61,69.02,70.91,2024-01-07
373,2,9.05,446.43,1254.81,290.64,59.67,79.83,2024-01-08
374,2,4.15,466.7,1178.41,316.47,52.87,90.4,2024-01-09
375,2,1.25,512.93,1274.91,318.7,63.83,82.97,2024-01-10
376,2,3.92,402.34,1314.93,287.47,71.89,56.71,2024-01-11
377,2,8.98,463.6,1291.84,303.2,57.2,91.41,2024-01-12
378,2,2.83,496.65,1319.24,304.85,60.85,90.37,2024-01-13
379,2,1.53,513.1,1157.96,302.6,70.26,56.84,2024-01-14
380,2,2.02,505.64,1293.94,291.25,61.93,85.17,2024-01-15
381,2,4.08,492.59,1351.84,294.17,54.09,105.68,2024-01-16
382,2,7.33,494.46,1234.16,243.67,31.46,134.35,2024-01-17
383,2,1.81,526.26,1243.62,306.67,57.39,92.86,2024-01-18
384,2,8.62,386.15,1184.71,274.97,58.49,67.6,2024-01-19
385,2,7.59,384.71,1221.38,273.35,60.35,67.25,2024-01-20
386,2,8.12,406.78,1212.19,336.11,65.1,65.36,2024-01-21
