expense_id,restaurat_id,bills,vendors,wage advances,repairs,sundries,Exp Date
153,1,121.8,34.23,8.31,179.92,52.44,2024-06-01
154,1,168.21,55.07,158.05,110.7,70.06,2024-06-02
155,1,46.64,2.91,274.67,3.52,34.16,2024-06-03
156,1,210.92,9.07,18.92,7.39,84.81,2024-06-04
157,1,108.83,16.5,170.26,21.4,95.27,2024-06-05
158,1,178.63,148.34,210.27,29.93,43.73,2024-06-06
159,1,10.1,45.51,147.69,24.63,81.05,2024-06-07
160,1,118.84,37.69,180.48,206.34,5.33,2024-06-08
161,1,58.81,5.02,235.62,59.36,67.97,2024-06-09
162,1,201.28,32.61,129.51,29.59,39.05,2024-06-10
163,1,115.01,0.74,89.48,48.12,44.17,2024-06-11
164,1,34.76,81.7,17.6,19.8,17.48,2024-06-12
165,1,40.45,11.59,270.28,19.24,48.89,2024-06-13
166,1,275.32,40.6,91.58,133.0,5.85,2024-06-14
167,1,143.78,11.35,451.38,30.62,74.35,2024-06-15
168,1,126.08,10.89,12.51,66.11,4.79,2024-06-16
169,1,129.6,15.86,51.79,53.43,79.54,2024-06-17
170,1,121.1,6.31,130.77,101.93,88.29,2024-06-18
171,1,6.27,14.41,197.11,48.47,41.35,2024-06-19
172,1,127.26,51.46,159.27,75.06,46.84,2024-06-20
173,1,93.24,107.98,71.87,20.97,2.63,2024-06-21
174,1,32.54,25.74,378.34,30.79,14.11,2024-06-22
175,1,13.38,42.62,150.68,1414.45,34.49,2024-06-23
176,1,42.2,88.91,48.05,102.24,15.11,2024-06-24
177,1,180.87,49.85,241.29,153.58,90.71,2024-06-25
178,1,230.91,9.41,238.29,18.04,32.92,2024-06-26
179,1,0.8,19.59,155.75,2.06,56.89,2024-06-27
180,1,68.65,37.62,19.69,194.03,85.69,2024-06-28
181,1,69.78,49.03,29.83,77.75,9.78,2024-06-29
182,1,135.68,34.81,40.92,47.2,92.29,2024-06-30
183,1,55.07,24.32,215.56,298.04,51.13,2024-07-01
184,1,21.31,69.72,50.78,321.73,90.03,2024-07-02
185,1,79.56,38.12,344.72,28.59,84.58,2024-07-03
186,1,5.81,118.37,339.14,18.46,8.87,2024-07-04
187,1,139.38,8.75,7.49,50.11,53.2,2024-07-05
188,1,139.23,15.04,43.42,84.25,19.3,2024-07-06
189,1,399.16,89.25,29.28,268.19,38.4,2024-07-07
190,1,21.79,12.25,207.53,1.08,55.27,2024-07-08
191,1,9.1,5.83,72.72,16.54,80.39,2024-07-09
192,1,341.05,199.99,159.6,18.95,67.17,2024-07-10
193,1,52.71,22.27,185.46,2.04,65.06,2024-07-11
194,1,139.87,45.35,237.78,26.57,42.3,2024-07-12
195,1,196.58,19.63,187.41,79.55,32.61,2024-07-13
196,1,157.53,22.02,163.93,1487.82,6.2,2024-07-14
197,1,106.67,21.94,26.41,53.89,30.11,2024-07-15
198,1,11.47,9.24,27.07,51.24,15.91,2024-07-16
199,1,250.95,47.28,142.11,213.63,43.81,2024-07-17
200,1,73.43,127.55,618.04,0.65,45.29,2024-07-18
201,1,134.77,7.93,474.03,8.8,11.78,2024-07-19
202,1,225.49,17.77,174.15,30.93,11.48,2024-07-20
203,1,213.05,20.42,171.56,12.28,97.96,2024-07-21
204,1,8.13,19.34,34.16,473.7,39.22,2024-07-22
205,1,58.98,0.89,51.16,45.82,95.38,2024-07-23
206,1,53.35,44.48,104.47,37.9,72.31,2024-07-24
207,1,2.28,54.65,7.49,12.36,57.41,2024-07-25
208,1,156.43,75.01,249.39,29.78,19.94,2024-07-26
209,1,170.34,2.62,121.58,1336.15,85.22,2024-07-27
210,1,1.19,54.12,322.24,274.01,2.56,2024-07-28
211,1,42.71,12.74,78.59,0.11,76.53,2024-07-29
212,1,4.39,4.72,90.28,17.66,47.14,2024-07-30
213,1,26.83,21.69,187.83,98.39,13.85,2024-07-31
214,1,336.87,12.97,198.23,92.35,5.58,2024-08-01
215,1,98.39,115.13,112.87,182.77,95.73,2024-08-02
216,1,128.02,37.37,43.86,13.64,70.58,2024-08-03
217,1,120.33,29.15,487.74,64.96,11.76,2024-08-04
218,1,493.09,0.71,29.95,102.22,31.48,2024-08-05
219,1,388.9,69.35,216.73,12.23,36.71,2024-08-06
220,1,120.75,27.74,151.38,5.14,42.37,2024-08-07
221,1,79.66,127.33,167.98,83.66,78.66,2024-08-08
222,1,119.79,112.77,177.39,76.86,32.13,2024-08-09
223,1,185.5,55.5,174.11,1203.3,94.93,2024-08-10
224,1,19.92,55.83,229.12,153.86,67.65,2024-08-11
225,1,335.59,77.11,275.89,201.47,28.49,2024-08-12
226,1,6.74,29.61,55.01,104.08,34.15,2024-08-13
227,1,38.84,10.56,8.07,149.6,95.86,2024-08-14
228,1,362.8,77.04,273.53,147.37,30.35,2024-08-15
229,1,510.61,22.7,2.1,131.13,13.99,2024-08-16
230,1,156.58,30.1,92.16,0.15,35.55,2024-08-17
231,1,295.82,1.58,59.11,90.53,72.18,2024-08-18
232,1,33.3,23.84,171.66,54.54,29.9,2024-08-19
233,1,19.94,21.3,116.31,69.66,66.71,2024-08-20
234,1,161.07,28.37,130.77,65.94,18.84,2024-08-21
235,1,324.19,1.45,61.13,111.11,23.67,2024-08-22
236,1,158.59,7.32,239.17,137.37,47.3,2024-08-23
237,1,187.65,13.95,97.2,14.25,38.02,2024-08-24
238,1,274.07,18.8,199.9,1161.44,47.85,2024-08-25
239,1,246.12,8.92,221.77,100.93,33.5,2024-08-26
240,1,78.0,31.29,45.31,35.79,38.18,2024-08-27
241,1,5.55,99.58,115.46,7.3,88.03,2024-08-28
242,1,12.92,33.06,440.24,10.73,8.88,2024-08-29
243,1,189.85,9.03,65.98,37.35,89.58,2024-08-30
244,1,171.56,10.51,34.43,56.1,18.56,2024-08-31
245,1,221.47,6.25,416.89,129.34,11.37,2024-09-01
246,1,370.51,16.03,186.8,32.69,46.0,2024-09-02
247,1,256.37,50.12,246.78,14.33,59.16,2024-09-03
248,1,176.36,11.14,1.72,236.88,52.88,2024-09-04
249,1,12.34,1.83,310.25,11.58,56.85,2024-09-05
250,1,277.16,19.2,130.65,1014.37,36.54,2024-09-06
251,1,103.44,7.51,372.35,1103.59,75.79,2024-09-07
252,1,54.38,20.69,137.49,89.61,49.83,2024-09-08
253,1,25.5,59.02,232.7,320.2,38.87,2024-09-09
254,1,186.01,8.48,55.46,47.81,9.85,2024-09-10
255,1,40.15,16.34,52.91,105.3,30.97,2024-09-11
256,1,65.14,60.0,95.26,36.18,37.88,2024-09-12
257,1,365.11,7.65,180.59,28.29,8.29,2024-09-13
258,1,3.24,199.99,328.66,47.08,12.56,2024-09-14
259,1,20.87,1.79,49.93,104.59,21.77,2024-09-15
260,1,60.86,31.86,23.14,183.98,49.76,2024-09-16
261,1,48.99,35.06,238.83,181.41,1.58,2024-09-17
262,1,48.71,21.88,28.69,21.39,6.63,2024-09-18
263,1,532.55,40.69,147.99,28.62,26.59,2024-09-19
264,1,58.79,100.0,165.06,45.12,44.13,2024-09-20
265,1,201.04,79.5,312.42,209.47,41.53,2024-09-21
266,1,63.8,38.37,16.53,27.96,55.04,2024-09-22
267,1,285.82,81.09,262.03,57.8,25.99,2024-09-23
268,1,199.56,106.91,173.31,14.48,16.55,2024-09-24
269,1,133.24,1.42,248.51,7.52,81.82,2024-09-25
270,1,718.39,1.13,93.38,67.88,1.08,2024-09-26
271,1,94.91,15.76,17.99,31.33,67.6,2024-09-27
272,1,202.08,21.26,336.47,44.94,87.82,2024-09-28
273,1,322.45,58.34,243.79,50.98,88.28,2024-09-29
274,1,177.91,64.17,601.44,14.88,73.03,2024-09-30
275,1,120.48,4.64,110.74,64.68,76.76,2024-10-01
276,1,115.82,182.52,106.75,76.28,15.45,2024-10-02
277,1,408.15,41.32,62.45,17.12,53.68,2024-10-03
278,1,122.73,0.37,260.82,68.38,75.58,2024-10-04
279,1,26.43,12.84,83.79,72.53,38.28,2024-10-05
280,1,59.25,114.77,179.47,44.21,33.12,2024-10-06
281,1,625.45,70.79,57.3,281.0,92.14,2024-10-07
282,1,371.09,16.69,89.33,131.72,57.77,2024-10-08
283,1,210.0,70.34,141.1,108.18,69.88,2024-10-09
284,1,140.12,39.85,384.99,36.12,54.94,2024-10-10
285,1,88.52,20.58,33.16,22.33,89.31,2024-10-11
286,1,36.86,24.68,446.83,28.22,50.93,2024-10-12
287,1,188.25,77.12,367.46,81.22,92.05,2024-10-13
288,1,174.0,10.33,168.76,92.93,8.09,2024-10-14
289,1,110.79,22.43,117.33,39.48,52.33,2024-10-15
290,1,17.47,168.24,115.49,28.8,54.81,2024-10-16
291,1,204.12,101.81,166.28,91.78,75.27,2024-10-17
292,1,79.44,15.47,837.87,51.33,59.91,2024-10-18
293,1,123.79,42.31,75.48,25.36,64.64,2024-10-19
294,1,96.37,9.84,396.51,111.1,54.66,2024-10-20
295,1,89.07,7.68,434.35,156.76,66.94,2024-10-21
296,1,9.54,149.03,6.33,288.23,57.26,2024-10-22
297,1,80.12,81.6,8.84,11.54,28.17,2024-10-23
298,1,638.96,11.69,350.57,40.53,62.27,2024-10-24
299,1,73.39,15.25,57.17,9.11,1.91,2024-10-25
300,1,139.34,26.21,207.12,151.3,1.23,2024-10-26
301,1,115.97,15.66,25.03,48.46,5.31,2024-10-27
302,1,257.51,23.78,18.99,11.98,41.61,2024-10-28
303,1,32.4,92.39,225.73,113.23,41.04,2024-10-29
304,1,67.35,91.77,266.45,35.13,16.14,2024-10-30
305,1,163.11,45.61,16.33,54.41,83.3,2024-10-31
306,1,348.39,43.96,155.18,14.67,18.46,2024-11-01
307,1,837.34,30.38,236.25,160.72,92.58,2024-11-02
308,1,145.91,30.74,257.42,5.86,89.03,2024-11-03
309,1,216.34,0.91,53.02,4.13,77.9,2024-11-04
310,1,86.43,41.66,193.08,79.88,42.8,2024-11-05
311,1,266.09,17.65,12.49,20.5,64.17,2024-11-06
312,1,45.85,53.53,54.22,151.79,31.17,2024-11-07
313,1,140.4,0.21,37.14,75.0,98.48,2024-11-08
314,1,6.07,15.32,237.8,187.6,33.99,2024-11-09
315,1,337.63,5.4,999.99,133.96,67.14,2024-11-10
316,1,86.47,37.76,56.09,30.02,95.11,2024-11-11
317,1,77.69,2.91,60.82,1484.34,81.4,2024-11-12
318,1,19.49,84.59,208.25,270.1,43.31,2024-11-13
319,1,37.63,46.6,394.82,81.12,38.9,2024-11-14
320,1,341.16,42.83,423.94,182.29,41.57,2024-11-15
321,1,428.41,40.04,40.51,37.66,26.33,2024-11-16
322,1,281.01,4.32,47.27,101.61,75.68,2024-11-17
323,1,24.69,66.47,130.98,49.14,75.37,2024-11-18
324,1,522.11,19.75,113.77,5.01,88.02,2024-11-19
325,1,86.35,17.52,1.8,1075.38,70.86,2024-11-20
326,1,73.83,53.84,12.49,10.85,2.7,2024-11-21
327,1,100.08,45.53,271.42,200.91,59.49,2024-11-22
328,1,123.89,11.54,29.61,137.64,22.01,2024-11-23
329,1,280.3,162.06,12.07,161.33,11.74,2024-11-24
330,1,207.87,47.6,98.29,158.96,22.49,2024-11-25
331,1,605.09,48.0,19.3,78.36,11.07,2024-11-26
332,1,188.62,24.98,741.26,224.14,49.33,2024-11-27
333,1,288.2,6.49,341.34,35.2,23.67,2024-11-28
334,1,404.55,0.27,10.44,85.41,92.01,2024-11-29
335,1,777.71,25.07,252.56,180.13,62.09,2024-11-30
336,1,38.9,35.84,296.94,33.25,66.84,2024-12-01
337,1,116.59,41.2,34.74,103.64,9.79,2024-12-02
338,1,304.95,21.95,105.63,65.49,74.67,2024-12-03
339,1,243.21,47.67,75.28,69.39,96.21,2024-12-04
340,1,130.12,19.04,89.24,55.06,32.26,2024-12-05
341,1,3.61,73.91,184.36,84.66,13.52,2024-12-06
342,1,149.53,45.18,213.35,112.85,12.95,2024-12-07
343,1,123.99,15.22,636.56,1333.93,32.67,2024-12-08
344,1,112.83,109.04,302.4,138.07,65.09,2024-12-09
345,1,43.21,32.67,89.65,15.03,89.36,2024-12-10
346,1,84.82,78.94,242.27,9.12,32.57,2024-12-11
347,1,112.97,50.64,16.46,153.62,98.63,2024-12-12
348,1,35.28,7.76,34.92,206.24,32.11,2024-12-13
349,1,44.12,60.84,211.03,127.58,70.35,2024-12-14
350,1,120.98,77.75,358.3,47.14,33.3,2024-12-15
351,1,359.71,64.99,175.31,72.64,60.0,2024-12-16
352,1,24.14,7.12,172.33,149.17,32.74,2024-12-17
353,1,262.69,20.27,174.22,5.68,23.79,2024-12-18
354,1,69.14,52.39,86.62,3.0,25.43,2024-12-19
355,1,317.2,2.43,371.52,5.97,20.13,2024-12-20
356,1,350.3,94.98,65.53,9.26,55.93,2024-12-21
357,1,402.51,58.84,34.42,40.45,10.09,2024-12-22
358,1,26.16,42.43,123.68,48.13,80.99,2024-12-23
359,1,423.1,71.98,49.0,33.13,51.46,2024-12-24
360,1,107.74,38.18,78.66,29.34,94.18,2024-12-25
361,1,35.1,160.23,841.74,65.81,76.72,2024-12-26
362,1,25.58,43.81,169.95,124.02,65.84,2024-12-27
363,1,273.73,129.97,730.11,52.05,67.91,2024-12-28
364,1,209.6,25.24,399.49,59.98,33.93,2024-12-29
365,1,80.42,1.69,15.41,15.7,75.79,2024-12-30
366,2,211.02,22.6,93.52,120.2,78.83,2024-01-01
367,2,430.92,59.25,262.79,74.03,59.38,2024-01-02
368,2,53.87,5.47,69.3,1318.44,23.73,2024-01-03
369,2,47.98,2.3,696.0,72.35,7.77,2024-01-04
370,2,159.0,4.65,98.6,107.13,5.22,2024-01-05
371,2,125.26,29.12,50.78,0.42,83.6,2024-01-06
372,2,12.08,30.73,92.35,58.45,50.22,2024-01-07
373,2,133.08,0.24,94.52,208.05,22.83,2024-01-08
374,2,34.54,84.82,87.43,33.04,35.73,2024-01-09
375,2,116.68,19.92,86.56,3.74,75.37,2024-01-10
376,2,714.0,19.67,40.92,115.78,93.18,2024-01-11
377,2,25.99,13.97,219.75,201.12,58.32,2024-01-12
378,2,52.15,73.63,164.35,81.64,10.77,2024-01-13
379,2,98.65,93.64,503.37,47.85,83.03,2024-01-14
380,2,198.42,59.63,24.21,19.06,30.17,2024-01-15
381,2,125.46,60.43,206.7,88.05,82.65,2024-01-16
382,2,132.12,24.5,40.84,150.05,14.67,2024-01-17
383,2,5.81,34.71,105.98,69.65,20.89,2024-01-18
384,2,43.13,114.86,234.76,54.94,44.9,2024-01-19
385,2,104.61,50.28,0.32,7.3,13.02,2024-01-20
386,2,23.05,20.88,134.79,26.26,20.07,2024-01-21
387,2,259.14,1.42,201.02,82.58,63.8,2024-01-22
388,2,306.0,79.17,29.4,31.12,35.39,2024-01-23
389,2,208.98,62.25,40.77,66.86,5.55,2024-01-24
390,2,107.45,11.45,337.34,64.94,70.73,2024-01-25
391,2,129.01,18.59,41.81,24.57,49.05,2024-01-26
392,2,11.24,24.82,48.25,2.32,12.19,2024-01-27
393,2,242.77,158.5,175.36,104.74,83.24,2024-01-28
394,2,279.57,4.72,77.57,26.03,46.74,2024-01-29
395,2,78.38,15.35,29.93,661.74,17.9,2024-01-30
396,2,204.54,23.68,323.43,35.15,88.8,2024-01-31
397,2,101.89,102.27,324.06,46.58,69.16,2024-02-01
398,2,277.64,84.08,339.1,68.6,36.71,2024-02-02
399,2,185.53,36.77,999.99,180.6,57.63,2024-02-03
400,2,22.53,27.94,60.29,1035.33,38.57,2024-02-04
401,2,380.89,16.15,45.61,30.23,98.3,2024-02-05
402,2,38.76,20.02,85.59,41.27,96.84,2024-02-06
403,2,65.09,13.04,122.52,134.4,60.25,2024-02-07
404,2,143.76,57.87,65.43,16.65,51.1,2024-02-08
405,2,0.26,22.89,999.99,41.44,9.52,2024-02-09
406,2,87.14,107.15,260.39,67.11,30.69,2024-02-10
407,2,150.27,26.76,197.46,13.32,86.64,2024-02-11
408,2,19.4,48.74,208.36,0.88,49.43,2024-02-12
409,2,175.66,18.31,119.43,55.43,48.49,2024-02-13
410,2,349.07,36.15,104.18,53.98,13.1,2024-02-14
411,2,87.8,97.64,41.35,1.06,98.74,2024-02-15
412,2,7.04,2.68,77.52,21.12,80.25,2024-02-16
413,2,74.36,131.27,265.58,121.36,87.14,2024-02-17
414,2,185.24,10.33,6.69,127.03,94.98,2024-02-18
415,2,223.15,53.91,61.79,39.92,39.19,2024-02-19
416,2,105.76,10.77,203.45,69.05,34.1,2024-02-20
417,2,182.37,2.06,182.98,60.45,42.17,2024-02-21
418,2,79.99,24.09,16.81,202.58,7.58,2024-02-22
419,2,70.76,106.03,212.76,33.52,91.85,2024-02-23
420,2,4.32,11.4,283.17,47.18,26.12,2024-02-24
421,2,151.48,149.04,644.83,1029.64,36.06,2024-02-25
422,2,181.23,24.73,412.53,38.59,72.29,2024-02-26
423,2,59.89,44.12,133.88,40.33,45.08,2024-02-27
424,2,115.61,18.41,127.27,25.63,81.04,2024-02-28
425,2,159.43,20.15,308.65,1176.3,51.27,2024-02-29
426,2,452.66,57.5,161.99,5.53,62.38,2024-03-01
427,2,95.84,107.79,65.88,113.53,94.66,2024-03-02
428,2,137.32,11.15,265.56,129.06,93.73,2024-03-03
429,2,16.56,37.01,91.12,60.77,7.89,2024-03-04
430,2,526.76,32.61,132.84,26.91,49.77,2024-03-05
431,2,34.14,50.75,98.09,318.52,37.32,2024-03-06
432,2,370.43,31.99,49.23,212.26,37.6,2024-03-07
433,2,278.9,114.58,30.59,78.49,89.13,2024-03-08
434,2,219.58,36.13,53.28,49.08,77.03,2024-03-09
435,2,0.49,60.83,171.06,174.91,69.86,2024-03-10
436,2,23.27,18.09,3.12,9.0,86.44,2024-03-11
437,2,149.18,10.38,62.8,1.99,56.96,2024-03-12
438,2,86.15,78.85,343.8,46.01,84.61,2024-03-13
439,2,63.05,15.12,108.87,73.42,45.62,2024-03-14
440,2,474.36,122.52,251.3,56.98,8.49,2024-03-15
441,2,22.35,11.86,331.28,289.43,78.65,2024-03-16
442,2,74.27,25.14,215.81,20.01,44.76,2024-03-17
443,2,220.76,140.68,806.34,347.75,27.81,2024-03-18
444,2,56.06,95.72,94.0,16.84,46.31,2024-03-19
445,2,20.74,6.17,51.25,231.34,81.96,2024-03-20
446,2,222.82,29.28,205.62,0.13,27.05,2024-03-21
447,2,310.15,11.65,295.15,5.55,34.21,2024-03-22
448,2,298.5,35.66,157.96,7.28,24.28,2024-03-23
